p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
0,0.361121506,0.608,0.265,0,0,VCL
0,0.360653196,0.429,0.185,0,0,ACADVL
0,0.360475006,0.441,0.197,0,0,TBC1D8
1.51E-259,0.359946057,0.234,0.1,1.13E-255,0,MYH14
0,0.359876042,0.138,0.027,0,0,AC023590.1
0,0.358928329,0.235,0.088,0,0,PLPP7
0,0.358869269,0.77,0.343,0,0,MARK3
0,0.357906515,0.523,0.228,0,0,DENND5B
0,0.357794189,0.783,0.34,0,0,GOLGA4
0,0.357500402,0.672,0.321,0,0,NAV1
0,0.355793634,0.499,0.221,0,0,SLC25A12
8.50E-300,0.354655356,0.169,0.053,6.37E-296,0,ADAL
0,0.354445059,0.335,0.151,0,0,EPB41
0,0.353710493,0.253,0.098,0,0,IDH2
0,0.353303303,0.147,0.038,0,0,CTD-2147F2.1
2.49E-262,0.351768334,0.252,0.111,1.86E-258,0,ZBTB43
0,0.351535953,0.448,0.195,0,0,GTF2IRD1
0,0.351104629,0.331,0.151,0,0,PPARGC1B
0,0.351018602,0.772,0.351,0,0,ANKRD17
0,0.350577613,0.393,0.178,0,0,XPO4
0,0.349718583,0.168,0.049,0,0,CTD-3239E11.2
0,0.349057984,0.156,0.042,0,0,RP11-156K13.1
3.02E-259,0.348532609,0.213,0.085,2.27E-255,0,LIN9
3.36E-275,0.3481212,0.28,0.129,2.52E-271,0,ALPK3
0,0.347688836,0.686,0.302,0,0,PLPP3
0,0.347510395,0.201,0.053,0,0,TTTY10
0,0.346425503,0.699,0.303,0,0,SCAPER
0,0.346263375,0.405,0.172,0,0,ABHD18
3.34E-259,0.346054359,0.144,0.045,2.50E-255,0,RP11-464F9.21
0,0.345980116,0.152,0.037,0,0,TPD52
0,0.345482056,0.171,0.049,0,0,LBH
1.06E-193,0.345113848,0.173,0.072,7.95E-190,0,ST7-AS2
1.54E-219,0.344551195,0.262,0.126,1.15E-215,0,KCNMB2-AS1
0,0.344402585,0.74,0.371,0,0,MEF2C
0,0.34420393,0.28,0.102,0,0,CSRP3
0,0.343401288,0.245,0.094,0,0,ZNRF1
0,0.343098753,0.321,0.14,0,0,NUDT4
8.06E-260,0.342930193,0.257,0.115,6.04E-256,0,AFG3L2
1.09E-262,0.342515095,0.275,0.126,8.16E-259,0,ISPD
2.08E-256,0.342307549,0.188,0.07,1.56E-252,0,NRG2
0,0.341439038,0.382,0.178,0,0,BCL2L13
4.84E-250,0.341036543,0.153,0.051,3.63E-246,0,CTD-2147F2.2
1.47E-222,0.340613358,0.163,0.061,1.10E-218,0,LINC01505
0,0.339719349,0.37,0.171,0,0,ITGAV
0,0.33921627,0.19,0.06,0,0,HS6ST3
8.06E-183,0.338913963,0.206,0.097,6.04E-179,0,MAPK4
0,0.338412929,0.644,0.283,0,0,ATXN1
4.55E-197,0.337915834,0.147,0.055,3.41E-193,0,MIR1-1HG
0,0.337769963,0.38,0.176,0,0,HRAT17
2.10E-223,0.337705988,0.205,0.087,1.57E-219,0,SYCP3
